state,name,address,phone,mobile,email,website,contact_person,purpose
maharashtra,Happy Buds Foundation,Mira Road (E) Thane Maharashtra 401107,,90220 64004,happybudsfoundation@gmail.com,www.happybudsfoundation.com,Ravi,
maharashtra,"Equinox Foundation, Dombivali","C-704, Lodha Vihar, Near Rotex Company, Manpad Road, Bhopar Thane Maharashtra 421203",,98703 48116,sujitbhanse@hotmail.com,,,
maharashtra,Media Intelligence Network,"B-41, Ashoka Complex, Mafco Market, Sec- 18, Vashi, Navi Mumbai Thane Maharashtra 400705",022-41237012,98923 72258,mediapolice@yahoo.in,,,
maharashtra,Prabal Welfare,"Paras Industrial Complex, 203 Gala Number, Nr. Saibaba Mandir, Ulhasnagar 3 Thane Maharashtra 421003",,93222 25455,info.prabalngo@gmail.com,,,
maharashtra,Akshayashakti Welfare Association,"Kshitij Chs, 143, B-15, Prabodhankar Thakare Nagar, Pawar Nagar Thane West Maharashtra 400610",,88980 24034,akshayashaktitrust@gmail.com,,,
maharashtra,Shramik Mahila Mandal,"Shiv Shakti Nagar-2, Road-16, Wagle Esate Thane Maharashtra 400604",,"92213 25264, 92204 65650",rupeshbagade20@gmail.com,,,
maharashtra,Ekta Niradhar Sangh,"23/2/1 B, Anand Park, Thergaon, Chinchwad Thergaon Chinchwad Pune – Maharashtra 411033",,97681 17477,sagee.redz@gmail.com,,,
maharashtra,Lokkalyan Charitable Trust,"37, Sai Housing Society, Golibar Maidan Satara Maharashtra 415002",,96042 92644,sudhir_lct@rediffmail.com,,Sudhir Tupe,
maharashtra,Swarajya Maza Samajik Sanstha,"E-13, Shrishail Nagar, Bhavani Peth Solapur Maharashtra 413002",,99700 74254,psharnarthi9@gmail.com,,Pankaj Sharnarthi,
maharashtra,Shree Digambar Foundation,"40, Near SBI, Shahade Shahade Maharashtra 425409",,"91307 97978, 94227 97987",sdfoundation06@gmail.com,,Yogiraj Jadhav,
maharashtra,Aai Saheb Jijau Bahu Uddeshiy Sanstha,"Ranzani, Pratappur, Taloda Nandurbar Maharashtra 425413",,96890 97221,anandmarathe71@gmail.com,,Aanand Baburao Marathe,
maharashtra,Sanjeevani Bahu Uddeshiya Gram Vikas Sanstha,"Insuli, Sawantwsdi Sindhudhrg Maharashtra 416510",,"94646 32583, 94030 50583",sanjeevanigram@gmail.com,,Dinkar Chate,
maharashtra,Anandi Seva Kendra,"29, Sector 18-A, Phase-3 Nerul Navi Mumbai Thane Maharashtra 400706",022-32485521,"99207 79143, 96643 78143",anandi.ngo89@gmail.com,,,
maharashtra,Kaipra Uday Ramakant Khanolkar Wachan Mandir,"Malgaon, Sawantwadi Sindhudurg Maharashtra 416510",02363-271760,94211 49344,khanolkarlib@gmail.com,,Ramesh Baburao,
maharashtra,Guhagar Handicaped Association,,,,,,,
maharashtra,Konkan Vikas Shikshan Sanstha,"438, Vajarat Vengurla Sindhudurg Maharashtra 416516",,94212 68395,Kdet@Rediffmail.Com,,Paresh Parab,
maharashtra,Salvage Nation,"Om Rachna Chs, Sector 17, Vashi, Navi Mumbai Thane Maharashtra 400703",,"99201 80286, 90294 75552",dinesh.salvagenation@gmail.com,,,
maharashtra,Happy Foundation,"Maindargi, Akkalkot Solapur Maharashtra 413217",0218-1255083,99700 40481,happyfoundation592013@gmail.com,,Dr.Shivanagi,
maharashtra,Sanjeevani Hospital Foundation,"2, A-7, Premkiran Chs Ltd, Shantinagar, Mira Road Thane Maharashtra 401107",022-8111883,98203 99610,shfkids@gmail.com,,,
maharashtra,Samyak Srushti Bahuuddeshiya Sanstha,"Bramhapuri, Mangalwedha Solapur Maharashtra 413305",,90755 53737,kishorkhilare2485@gmail.com,,kishor mahadev khilare,
maharashtra,Nk Social Trust Solapur,"C-59/60, Mahalaxmi Nagar, ITI Back Side, Vijapur Road Solapur Maharashtra 413004",,95457 59000,nksocialtrustsolapur@gmail.com,,,
maharashtra,Om Bahuddeshiya Samajik Sanstha,"Talat, Mohol Solapur Maharashtra 413213",0217-9234323,98228 25034,abhaybandgar2013@gmail.com,www.guidestarindia.org,,
maharashtra,Rugna Seva Prakalp,"2141, Brahmainpuri, Miraj-Kupwad Sangli Maharashtra 416410",,94224 06785,rspmiraj@gmail.com,,Dr Bhalchandra Gopal Sathaye,
maharashtra,Raviraj Foundation,"Shreenath Nagar 58 Phata, Malshiras Solapur Maharashtra 413107",0231-6628277,77768 74449,ravirajfoundetion@hotmail.com,,,
maharashtra,Pune Art Association,"Vijaydeep Complex, Barrister Gadgil Road, Peru Gate, Sada Shiv Pune Maharashtra 411030",,,puneartassociation@gmail.com,,,
maharashtra,Prerna Foundation,"A/P-Yedenipani, Walwa Sangli Maharashtra 415403",02342-275005,95959 14116,prernafoundation09@gmail.com,,Sachin Yadav,
maharashtra,Jan Kranti Sangh,"Sai Navlai Bld, 102, 4th Floor, Sambhaji Marg, Choudhari Park, Dighi Pune Maharashtra 411015",,98609 82948,pramod201088@gmail.com,,,
maharashtra,Siddeshwarprasad Bahuudeshiya Sansta,"Yelvi, Jath Sangli Maharashtra 416 404",,99754 64178,vshinde4444@gmail.com,,Vijay Shinde,"Agriculture, Water"
maharashtra,Bhagubai Sopan Kalate Foundation,"177/1/4, Bhagyatara Building, Wakad Road Pune Maharashtra 411057",,84461 13434,bskfpune@gmail.com,www.bskf.co.in,Raju,
maharashtra,Maharashtra Samajik Vikas Trust,"21, Krushi Utpanna Bajar Samiti Raigad Maharashtra 402107",02143-253486,94233 79370,msvt_penraigad@rediffmail.com,,,
maharashtra,National Progressive Youth Association,"Sargam Apt, 07, Sector-09, Kamothe, Panvel Raigad Maharashtra 410209",0,97732 23656,npyIndia@gmail.com,www.npya.org,,
maharashtra,Nisarg Friendship Association Konkan,"Navin Vasahat, Pen Raigad Maharashtra 402107",,92204 64711,nfak1997@gmail.com,www.nisargfriendshipkonkan.org,Yogesh,
maharashtra,Nag Foundation,"Farrjeste, 3, Boat Club Rd, Sangamvadi Pune Maharashtra 411002",020-26163852,98812 30385,mohsin@plan-a.co.in,,,
maharashtra,Shivraj Foundation,"Achloli, Mahad Raigad Maharashtra 402305",,98506 75474,shivrajfoundation55@gmail.com,,Shailesh Subhash Butala,
maharashtra,Rostrum India Social Organization,"3, Chandrashila Complex, Behind Ajit Multistate, Opp Ashirwad Karyalaya Pune Maharashtra 411023",,"84460 30003, 86000 40039",rostrumindia@gmail.com,,,
maharashtra,Star Foundation,"Star Hotel Bazar, Shriwardhan Raigad Maharashtra 402110",,80973 81503,starfoundation2007@gmail.com,,D N Lambe,
maharashtra,Kirtida Organisation,27/2b Pune Maharashtra 411011,,94237 39212,kirtida.org@gmail.com,www.kirtida.org,Rashmi Desai,Advocacy On
maharashtra,Ganga Ananda Foundation,"615, Zolichiwadi, Khed Ratnagiri Maharashtra 415705",02356-273215,94223 75914,kundanmore_kmno4@yahoo.co.in,,Kundan More,
maharashtra,Maitra Foundation,"Arun Lohakare, 3/A-2, Kamalnayanam, Tirupati Nagar, Warje Naka Pune Pune Maharashtra 411058",020-25235591,"99224 42065, 99224 46165",,,,
maharashtra,Arihant Youth Foundation,"A/P, Mallewadi Tal Sangli Maharashtra 416410",,90119 83333,savandarure@gmail.com,,Savankumar Darure,
maharashtra,Shri Khanderai Bahuudeshiya Vikas Sanstha,"Gaytri Appartment, 8, Gopalwadi, Daund Pune Maharashtra 413801",,92263 92953,shrikhanderaitrust@gmail.com,,Petkar Swapnil,
maharashtra,Shivshakti Social Foundation,"Shivajinagar, Kadegaon Sangli Maharashtra 415304",0234-7242250,89753 07470,shivshaktisocialfoundation11@gmail.com,,,
maharashtra,Morya Samajik Pratishthan,"Heritege Plazza, Pimpari, Chinchawad, Link Rood Pune Maharashtra 410033",,"94220 36639, 97637 16462",ganeshambike07@gmail.com,,,
maharashtra,Ocean Cadet Academy,"Nandadeepashree Hsg Soc, A-17, Bulkland No 8, Pradhikaran Pune Maharashtra 411044",,81494 50844,captainoca.gsm@gmail.com,,,
maharashtra,Ashray,"Shikshak Colony, Ramling Road, Shirur Pune Maharashtra 412240",,95272 16843,shirajpathan@gmail.com,,Shiraj Pathan Purpose,
maharashtra,Rashtriya Life Saving Society India,"Gulmohar Cottage, 8/103, Vimannagar, Pune Pune Maharashtra 411014",,97664 92288,kavita@lifesavingindia.org,,,
maharashtra,Boxing Club,Baramti Pune Maharashtra 413102,02112-226533,,pridecomputers786@gmail.com,,Irfan Shaikh,"Governance, Training."
maharashtra,The Intensive Society,"A1-204, Puranik Balewadi Pune Maharashtra 411045",,"75078 19876, 98112 83573",tejinder120752@gmail.com,,,
maharashtra,EDU-Tech Agro Foundation,"A-P, Umbraj, Junnar Pune Maharashtra 412412",,95618 31204,edutechagro@gmail.com,www.edutechagro.com,Ganesh Arun Abhale,
maharashtra,Aashi,"Gurudutta Colony, Vinayak Nagar, 3-A, Pimple Gurav Pune Maharashtra 411041",,95943 79938,aashi_avopc@yahoo.in,,Durvesh,
maharashtra,Ekansh Trust,"2nd Floor, J-m Road Pune Maharashtra 411001",020-30241273,,info@ekansh.org,www.ekansh.org,Anita Narayan,
maharashtra,Aashraya,"Shikshak Colony, Shirur Pune Maharashtra 412210",,95272 16843,shirajpathan@gmail.com,,Shiraj Pathan,Social
maharashtra,Ekta Gramvikas Pratishthan,"14-149/1, Ajmera-Masulkar Colony, Pimpri Pune Maharashtra 411018",,98604 16314,csbhosale08@gmail.com,,Chandrakant Sahadeo,
maharashtra,Arya Pratishthans,Pandare Pune Maharashtra 413110,,95616 53898,kokare_sandip@rediffmail.com,,Sandip Tulshiram Kokare,
maharashtra,Handicap Center,"136, Siddhivinayak Baugh, Near Esi Hospital, Mohan-Nagar, Pimpri-Chinchwad Pune Maharashtra 411019",0020-27464896,86000 40555,,,,
maharashtra,Bharatiya Jain Sanghatana,"Muttha Towers, Loop Road, Near Don Bosco Church, Yerwada Pune Maharashtra 411006",020-41200600,84467 04888,media@mutthafoundation.org,,,
maharashtra,Vande Matram Savrjanik Wachanalaya,"Takali, Osmanabad Osmanabad Maharashtra 413506",,94223 78495,subhash.vidyaniketan@gmail.com,,Subhash Patole,
maharashtra,Syed Fayyaj Bhuddshay Seva Bhavi Sanstha,"Sable Galli, Jintur Parbhani Maharashtra 431509",,89831 21412,syedaijazlove@gmail.com,,Syed Aijaz,Child
maharashtra,Aishwarya Mahila Mandal,"A-32, Midc, Osmanabad Osmanabad Maharashtra 413501",,84217 01296,subhash.vidyaniketan@gmail.com,,Sunita Subhash Patil,
maharashtra,Dsouza Educational And Charitable Trust,"Gaurao Plaza, Laxmi Chedda Marg, Nalasopara West Palghar Maharashtra 401203",0250-3248230,93210 18960,mimpe.org@gmail.com,,,
maharashtra,Niramay Bharat,"C/123, Chandraneel Housing society, Nr. Ramkrishna Math, Opp. Cosmos Bank, Sinhagad Road Pune Maharashtra 411030",020-24321154,94220 29874,,,,
maharashtra,Women In Need Given Support (WINGS) Foundation,"101-10, Agarwal Peace Heaven, Kauls Heritage, Bhabola Palghar Maharashtra 401202",0250-64570777,84229 09812,admin@ngowings.org,,,
maharashtra,Socrates Foundation for Enhanced Learning,"E1, Telecom Officers Colony, Janwadi Pune Maharashtra 411016",020-25631100,94223 01900,info@socratesfoundation.org,,,
maharashtra,Mahila Jagrut Seva Bhavi Sanstha,"Basmat Road, Near By Sant Tukaram College, Vardhman Complex Parbhani Maharashtra 431401",,"98507 50019, 99222 61722",Mahilajagruti@Yahoo.In,,,
maharashtra,Fakruddin Ali Ahemad Bahuuddeshiy Sevabhavi Sanstha,"Mardasgaon, Gangakhed Parbhani Maharashtra 431514",,99226 95110,mahebubngo786@gmail.com,,"Mahebub Ahemad, Mohiyoddin",
maharashtra,Lokrajya Human Development Society,"New Vikas Nagar, Gagakhed Road Parbhani Maharashtra 431401",,97676 83303,lokrajya_hds@rediffmail.com,,Govind,
maharashtra,Shree Bahuuddeshiya Sevabhavi Sanstha,"626, Shivaji Nagar, Jintur Parbhani Maharashtra 431509",02457-237078,94208 15577,shreebssjtr@gmail.com,,Santosh Sopanrao,
maharashtra,Shri Agrasen Samajk Sanskrutik Vikas Seva Bhavi Sanstha,"112-Bank Colony, Near Salasar Hanuman Mandir, Darga Road Parbhani Maharashtra 431401",02452-240383,94234 44562,yashraj78786@gmail.com,,,
maharashtra,Swami Vivekand Savrjanik Wachnalaya,"Midc, Near Rto Office, Osmanabad Osmanabad Maharashtra 413501",,86055 95222,subhashmpatole@gmail.com,,Subhash Mahadev,
maharashtra,Krishna Shanti Suman Multipurpose Event Organization,"NRI Complex, Seawoods, Nerul Navi Mumbai Maharashtra 400706",022-39620052,99209 89001,krishnashanti@in.com,,,
maharashtra,Chrysalis Charitable Trust,"202, 217, Sector-13, Kharghar Navi Mumbai Maharashtra 410210",,99670 00665,mbrooker52@gmail.com,,Namrata Shukla,
maharashtra,Adivasi Raja Bahudeeshiy Sanstha,"Tal Peth, Nirgude Nashik Maharashtra 422208",0255-8234422,82755 68149,adivasiraja@gmail.com,,Pradipkumar Impal,
maharashtra,Diabetes Health Foundation Charitable Trust,"22, Gangadhar Complex, 3, Sector 7, Kamothe Navi Mumbai Maharashtra 410209",022-27431139,86552 44665,diabeteshealthfoundation@gmail.com,,,
maharashtra,Marg Satya Va Jeevan Bahuuddeshya Sevabhavi Sanstha,"3, Shri Vastu, Kalanagar Wadje Mala, Meri?Dindori Road Nashik Maharashtra 422004",,"97622 65227, 81498 90499, 95270 25524",msjbss@gmail.com,,,
maharashtra,Swarajya Bahuuddeshiya Association,"Achlerkar Niwas, Nikwadiplotting, Samata Nagar Osmanabad Maharashtra 413501",,99602 13442,swarajya.aosd@gmail.com,,,
maharashtra,Akka Bahuuddeshiya Shaikshanik Sanstha,"111, Near Balaji Oil Mil, Bhaygaon Shiwar, Malegaon Nashik Maharashtra 423203",,"98224 49982, 70581 78033",akkabss333@gmail.com,,,
maharashtra,Indira Mahila Kendra,"Takali, Osmanabad Osmanabad Maharashtra 413506",,83907 99935,subhash.vidyaniketan@gmail.com,,Mainabai Avtar Kasabe,
maharashtra,Samajik Vikas Bahu Uddeshiya Seva Bhavi Sanstha Yeola,"Shah Colany, Yeola Nashik Maharashtra 423401",,"90281 08525, 93702 04150",azarshah30@gmail.com,,Sayyed Azhar Ali,
maharashtra,Jan Vikas Samaik Sanstha,"51, Midc, Osmanabad Osmanabad Maharashtra 413501",,77097 50353,subhashmpatole@gmail.com,,Sunita Pandurang Shinde Purpose,
maharashtra,Sarwajanik Seva Mandal (Ranala),"9, Trivenisangam Society, Bhabhanagar, Nashik Nashik Maharashtra 422011",0253-2597855,99211 02277,srpjakhane@rediffmail.com,,,
maharashtra,Jawahar Tarun Vikas Mandal,"Takli- B, Osmanabad Osmanabad Maharashtra 413506",,,subhash.vidyaniketan@gmail.com,,Laxman Patole,Adolescent
maharashtra,Gloriya Social Multipurpose Trust,"Gadinal Chawl, Near Sarla Apt, Canada Corner, Sharanpur Nashik Maharashtra 422002",0253-3019085,"99218 57332, 98817 33606",gloriyango@gmail.com,,,
maharashtra,Jay Bhavani Krushi Vidnyan Mandal,"Ietkur, Kalamb, Osmanabad Osmanabad Maharashtra 413507",0247-3269086,94204 75538,vikasgambhire5@gmail.com,,,
maharashtra,Om Saibahu-Uddeshiy Sanstha,"Gavali, Karanjali, Peinth Nashik Maharashtra 422208",,94224 43389,omsaitrustkaranjali@gmail.com,www.omsaitrust.in,Savita,
maharashtra,Deshmukh Seva Bhavi Sanstha,"Shobhanagar, Police Colony, 1-7-657 Nanded Maharashtra 431605",,99756 52943,deshmukhsevabhavisanstha@radiffmail.com,,,
maharashtra,Preranadayi Swami Vivekanand Navyuvak Mandal Dhadgaon,"Dhadgaon, Akrani, Nandurbar Nandurbar Maharashtra 425414",,94205 34754,pankajpotdar754@gmail.com,,Pankaj Kanhaiyalal,
maharashtra,"Jaywant Pratishthan, Guntur","Guntur, Kandhar Nanded Maharashtra 431742",,95955 91144,jaywantpg@gmail.com,,Rahul H Patil,"Agriculture, Animal"
maharashtra,Smile Care Foundation,"38, Shivkripa, Near Om Shanti Kendra, Old Mohida Road, Shahada Nandurbar Maharashtra 425409",05265-224330,94234 94228,smilecare185@gmail.com,,,
maharashtra,Prabuddha Bahuudeshiya Sevabhavi Sanstha,"Padma Nivas, Tukaram Nagar, Biloli Nanded Maharashtra 431710",,94217 67242,zendedinkar@gmail.com,,Dr. Zende Dinkar,
maharashtra,Sairam Health Care Charitable Trust,"Sunil Nagar, Balirampur Nanded Maharashtra 431603",,9326107544,drsgrathod@gmail.com,www.shcct.org,Sanjay Rathod Purpose,
maharashtra,Urja Bahuuddeshiy Sevabhavi Sanstha,"Duleshah, Rahman Nagar, Khadakpura Nanded Maharashtra 431601",,78419 45370,kashinath_parde@rediffmail.com,,Kashinath,
maharashtra,Satpuda Humen Welfare Foundation,"110, Bhujgaon, Akrani Nandurbar Maharashtra 425414",02595-219322,94229 99598,satpudafoundationbhujgaon@gmail.com,,Adv.,
maharashtra,Deep Foundation,"97, Madan Mohan Nagar, Vagoda Road Nandurbar Maharashtra 425412",02564-252232,99235 01521,deep.chetanpatil@yahoo.com,,,
maharashtra,Deepstambha Dharmadayee Sanstha,"56, Lokhande Nagar Nagpur Maharashtra 440022",,77678 08661,deepstambha2010@gmail.com,www.deepstambha.wix.com/deepstambha,,
maharashtra,Dhanwantri Sevabhavi Sanstha Loha,"Dadasaheb Gaikwad Nagar, Loha Taluka Nanded Maharashtra 431708",0246-62242816,90968 17358,dssaidsngo@hotmail.com,,,
maharashtra,Ashokanand Junior High School Samiti,"114, Lokseva Nagar Nagpur Maharashtra 440022",,"77559 00493, 77570-33586",ajhss1979@gmail.com,,"Vivek Tiwari, Ashok Tripathi",
maharashtra,Youth United Foundation,"345, Powai Plaza, Opposite Pizza Hut, Hiranandani Gardens, Powai Mumbai Maharashtra 400076",,88795 24657,youthunitedfoundation15@gmail.com,,,
maharashtra,Lasa Charitable Foundation,"Z-36, Ramnath City, Koradi Nagpur Maharashtra 441111",,98227 29186,foundationlasa@gmail.com,,Hari Nair,Disaster
maharashtra,Jeevan Raksha Welfare Society,"732, Tarvekar Layout, Bramhapuri Road, Neart-Point Nagbhid, Chandrapur Maharashtra 441205",,97656 79728,dr_shiwankar@jrhchnagbhid.com,,,
maharashtra,Sairam Educational & Social Association,"120, Chhoti Dhantoli, Mehadia Square, Nagpur Nagpur Maharashtra 440012",,"93722 51665, 80550 07668",sairam.easa@gmail.com,,,
maharashtra,Ravitej Bahuddeshiya Shikshan Prasarak Sanstha,"84, Gajanan Nagar, Omkar Colony Nagpur Maharashtra 440027",0712-6463937,98503 56794,ratnabodh@gmail.com,,Vilesh Bondade,
maharashtra,Akash Pratisthan Hudco,"Datt Nagar, Hudco, Nanded Nanded Maharashtra 431603",,98225 25510,ajaypawar060@gmail.com,,"Purpose : Agriculture, child","Agriculture, child"
maharashtra,Vaishnavi Bahuuddeshiya Sikshan Sanstha,"6, Corporation Colony, Pipla Road, Nr Hudkeshwar Police Station, Nagpur Nagpur Maharashtra 440034",,90113 34033,sangitajethe6@gmail.com,,,
maharashtra,Yuva Parivartan,"Unchada, Talang, Hadgaon, Nanded Nanded Maharashtra 431605",,98232 27577,yuvaparivartannanded123@gmail.com,,Bhaskar B,
maharashtra,Kalashray Foundation,"70, 74, Evershine Millennimum, Thakur, Kandivali Mumbai Maharashtra 400101",,99878 09350,kalashrayfoundation@gmail.com,,,
maharashtra,Anmol Seva Samiti,"2/37, J.S.S. Rd, Dhobitalao, Navjivanwadi Mumbai Maharashtra 400002",,93235 51961,gopinathkhanvilkar@gmail.com,,Gopinath,
maharashtra,New Jerusalem Church,"Church Lane, Tilak Nagar, Darga Cross Road, Bhandup Mumbai Maharashtra 400078",022-25963213,98219 02782,philiplazar@yahoo.in,,,
maharashtra,Gharkul Public Charitable Trust,"Prabhat Colony, Muncipal School Ground Flr, Santacruz Mumbai Maharashtra 400055",022-68888262,98337 36200,gharkultrust@yahoo.com,,,
maharashtra,Brastachar Nirmulan Manav Adhikar Sanghthan (Parivartan),"Bangdiwala Comp. , Quresh Nagar, Kurla Mumbai Maharashtra 400070",,97021 30786,sgtamboli@yahoo.com,,,
maharashtra,Health Organation,"51-1, JP Nagar, Behind Dakshata Poloce Society, Ramabai Colony, Ghatkopar Mumbai Maharashtra 400075",,77388 11288,dr.aakash03@gmail.com,,,
maharashtra,Progressive Foundation,"401-4b, Patliputra Nagar, Jogeshwari West Mumbai Maharashtra 400102",,93248 12905,tanveermm@gmail.com,,Tanveer Alam,
maharashtra,Iqra Gyan Educational & Welfare Foundation,"A-2/201, Al-Saf,a Co-Operative Housing Society, Millat Nagar, andheri West Mumbai Maharashtra 400053",022-26333705,98208 01169,info@iqragyan.org,,,
maharashtra,Sankalp Siddhi Sansthan,"1514, 15th Floor, Bld-2, Ganesh Ekta Society, Yashwant Nagar, Goregaon Mumbai Maharashtra 400104",,"98205 50990, 90043 30234",,,,
maharashtra,Mother Foundation,"2, Gr. Floor, Hill Breeze, B Wing, Triveni Nagar, Patahn Wadi, Malad East Mumbai Maharashtra 400097",,"95943 39516, 845490 7029, 98213 38018",,,,
maharashtra,Shree Yogeshwar Mahadev Trust,"Sophia Manzil, Near Bank of India, Shivaji Park, Dadar Mumbai Maharashtra 400028",,93206 04777,symt26@gmail.com,,,
maharashtra,Child Vision And Education,"22 C, Ng Park, Bldg No 2, Rawalpada, Dahisar East Mumbai Maharashtra 400068",022-28482370,96646 96648,info@childvisionandedu.org,,,
maharashtra,Takshila Foundation,"Mahatma Phule Nagar, Lokhande Marg, Chembur Mumbai Maharashtra 400089",022-65304455,99692 17277,md3966604@gmail.com,,,
maharashtra,Watumull Foundation India,"5, Delstar, N. S. Patkar Marg, Kemps Corner Mumbai Maharashtra 400036",022-23805558,92235 01286,watumullfoundation@gmail.com,,,
maharashtra,Citizens Association For Child Rights,"1, Prabhav Society, 2nd Road, Tps-3, Santacruz Mumbai Maharashtra 400055",,99875 98509,connect.cacr@gmail.com,,,
maharashtra,Helping Hand Foundation,"302, Ganesh Society, 02 Chsl, Uttan Navghar Church Rd Mumbai Maharashtra 401106",022-28451365,99879 23843,hhfngo2011@gmail.com,,,
maharashtra,Disha-Development In Social and Health Alliace,"158/1478, MHB Colony, DG Nagar, Gate No. 8, Malwani, Malad Mumbai Maharashtra 400095",,99873 60382,disha.develop2013@gmail.com,,,
maharashtra,People’s Responsibile Organisation of United Dharavi (PROUD),"90ft. Road, Subash Nagar, Dharavi Mumbai Maharashtra 400017",,96646 92998,pkanthony@rediffmail.com,www.prouddharavi.com,,
maharashtra,Sixty Plus Welfare Association,"A-5, Abhinav Milind Society, Shiv Srushti, Kurla Mumbai Maharashtra 400024",,99875 12970,neha.sonawane@60plus.co.in,,,
maharashtra,Teresa The Ocean Of Humanity Foundation,"B-14, Arihant Co Ope. Housing Society, Opp. Damodarwadi Ashok Chakrvarti Road, Ashok Nagar, Kandivali Mumbai Maharashtra 400101",,90225 57873,,,,
maharashtra,YODA – Youth Organisation in Defence of Animals,"New Siddhivinayak, Veer Savarkar Marg, Mahim Mumbai Maharashtra 400016",,98702 52558,poojatsakpal@gmail.com,,,
maharashtra,Al Birr Foundation,"1, Vanjara Mansion, Gunpowder Road, Mazgaon, Dockyard Road Mumbai Maharashtra 400010",,"99209 55597, 97022 08451",albirr.foundation@gmail.com,,,
maharashtra,New Resolution India,"85/B, First Floor, Kamgar Nagar, Opposite Vishal Tower, Kurla East Mumbai Maharashtra 400024",022-25274628,98677 18722,info@brightfutureindia.org,,,
maharashtra,Child Help Foundation,"204, Jaydeep Bldg, Sector-1, Shanti Nagar, Opp. Tmt Bus Stand, Mira Road Mumbai Maharashtra 401107",022-65352220,97029 29267,,,,
maharashtra,Pragatee Foundation,"Bapu Chaya Bldg, 185-188, Sector 23, Juinagar Mumbai Maharashtra 400705",022-27723122,96196 80613,kranein@gmail.com,,,
maharashtra,Freedom For You Foundation,"801, Excel Residency, Sec-7, Airoli Mumbai Maharashtra 400708",,"93225 92902, 98208 74028",4ufreedom@Gmail.Com,,,
maharashtra,Sounds of Silence Foundation,"1306, Kingston A Wing, Hiranandani, Powai Mumbai Maharashtra 400076",,99675 77567,soundsofsilence.mum@gmail.com,,,
maharashtra,Global Human Rights Protection Council,"8, Sainath Chamber, Sainath Road, Opp. Life Line Hospital, Near Mtnl, Malad Mumbai Maharashtra 400064",022-28141302,93219 42593,,,,
